59,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Localizaciones geotérmicas de alta temperatura en el mundo","Ilustra las localizaciones en el mundo en donde es factible encontrar puntos calientes para su aprovechamiento energético","Locaciones geotérmicas de alta temperatura en el mundo.jpg",2,,,,
60,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Producción de electricidad geotérmica en el mundo","Crecimiento anual de la capacidad instalada de energía geotermoeléctrica en el mundo durante los últimos años","Producción de electricidad geotérmica en el mundo.jpg",,,,,6
61,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidad geotérmica a escala mundial","Crecimiento anual de la capacidad instalada de energía geotermoeléctrica en el mundo durante los últimos años","Capacidad geotérmica a escala mundial.jpg",,,,,6
62,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Países con mayor desarrollo geotérmico","Lista de los países con mayor capacidad de generación geotermoeléctrica en el mundo","Países con mayor desarrollo geotérmico.jpg",,,,,6
63,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidad instalada en Latinoamérica","Países latinoamericanos que generan electricidad por medio de fuentes geotérmicas","Capacidad instalada en Latinoamérica.jpg",,,,,6
64,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyectos geotérmicos en Latinoamérica","Proyectos que han sido instalados en países latinoamericanos, de los cuales algunos ya no están operando","Proyectos geotérmicos en Latinoamérica.jpg",,,,,6
65,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyección de la geotermia en Estados Unidos","La proyección se realizó para los Estados Unidos porque no existen fuentes confiables que visualizen el crecimiento de esta tecnología en el resto del planeta.","Proyecciones de la geotermia en Estados Unidos.jpg",,,,,6
66,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyecciones de la geotermia en Estados Unidos","Proyecta el crecimiento de la energía geotermoeléctrica en los Estados Unidos","Proyecciones de la geotermia en Estados Unidos.jpg",,,,,6
67,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Áreas con potencial geotérmico para generación eléctrica en Colombia","Ilustra las zonas de Colombia en donde hay fuentes geotérmicas. Este mapa se realizó mediante las perforaciones de INGEOMINAS y de la industria petrolera.","Áreas con potencial geotérmico para generación eléctrica en Colombia.bmp",2,,,,
68,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Áreas en donde se puede generar electricidad geotérmica","Nombra las áreas y departamentos donde se podría generar electricidad a partir de fuentes geotérmicas. Las áreas se clasifican  en alta, media o baja según las posibilidades técnicas de generación eléctrica.","Áreas con potencial geotérmico para generación eléctrica en Colombia.bmp",,,,,6
69,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Planta de vapor seco","Ilustra el funcionamiento de una planta de vapor seco para la generación de energía geotermoeléctrica","u:\",,,,6,
70,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Planta vapor flash","Ilustra el funcionamiento de una planta de vapor flash para la generación de energía geotermoeléctrica","u:\",,,,7,
71,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos vapor flash","Muestra un estudio específico de los costos de generación de energía geotermoeléctrica mediante la variante tecnológica de vapor flah.","u:\",,,,7,
72,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Planta ciclo binario","Ilustra el funcionamiento de una plata de ciclo binario para la generación de energía geotermoeléctrica","u:\",,,,8,
73,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos ciclo binario","Muestra un estudio específico de los costos de generación de energía geotermoeléctrica mediante la variante tecnológica de ciclo binario.","u:\",,,,8,
74,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Proveedores de equipos para la generación geotermoeléctrica","Muestra los proveedores de equipos para la generación de energía eléctrica usando fuentes geotérmicas. En esta tabla se encuentran los datos de contacto con éstas empresas, además de la descripción de sus actividades.","Proveedores de equipos para la generación geotermoeléctrica.bmp",,,,,6
75,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Clasificación energía marina","Aplicaciones de la energía nuclear para el aprovechamiento en generación de energía eléctrica","Clasificación energía marina.jpg",4,,,,
76,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Zonas apropiadas para aprovechar la energía de las olas","Muestra las zonas del mundo donde hay mayor posibilidad de aplicar el proceso de olas para la generación eléctrica","Zonas apropiadas para aprovechar la energía de las olas.jpg",,,10,,
77,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Dispositivos generadores de energía","Muestra dispositivos utilizados en la generación de energía eléctrica mediante la fuente de mareas","Dispositivos generadores de energía.jpg",,,9,,
78,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción energía marina – mecánica","Muestra en forma resumida los datos de las variables caracteristicas para la energía mareomotríz - mecánica","Descripción energía marina – mecánica.jpg",,,,,14
79,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Desarrollos en el canal de Panamá","Ilustración de los sistemas que generarían electricidad en el canal de Panamá","Desarrollos en el canal de Panamá.jpg",,,,,14
80,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Requerimiento de mantenimiento planta LIMPET","Aquí se presentan los aspectos a tener en cuenta para el mantenimiento de las plantas generadoras LIMPET (Land Installed Marine Powered Energy Transformed)","Requerimiento de mantenimiento planta LIMPET.jpg",,,,,14
81,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Dispositivo Duck","Muestra el funcionamiento del dispositivo Duck el cual, por medio del movimiento generado por las olas, gira y genera energía cinética","Dispositivo Duck.jpg",,,,,14
82,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Turbina eje vertical","Ilustra un tipo de turbina con eje vertical, que ha medida que la marea sube usa las corrientes ascendentes para hacer pasar el agua por unos generadores y así producir electricidad.","Turbina eje vertical.jpg",,,,,14
83,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Turbina eje horizontal","Ilustra las turbinas con ejes horizontales que generarían electricidad","Turbina eje horizontal.jpg",,,,,14
84,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Dispositivo Pelamis","Dispositivos oscilantes que aprovechan el movimiento ondulatorio de las olas para generar energía eléctrica","Dispositivo Pelamis.jpg",,,,,14
85,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Esquema representativo generación con columnas de agua","Esquema de funcionamiento de un dispositivo costero para la generación de energía eléctrica. Cuando la ola llega genera una fuerza motriz representada en aire que hace mover una turbina que transforma esa energía potencial en eléctrica.","Esquema representativo generación con columnas de agua.jpg",,,,,14
86,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Sistema mecánico oscilatorio","Este sistema provecha el movimiento oscilatorio de las olas, convirtiendo esa energía cinética en eléctrica por medio de dispositivos especiales.","Sistema mecánico oscilatorio.jpg",,,,,14
87,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Puentes con turbinas acondicionadas","Describe la posibilidad de utilizar los puentes como bases para la instalación de turbinas submarinas que generen electricidad","Puentes con turbinas acondicionadas.jpg",,,,,14
88,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Diagrama ciclo cerrado OTEC","Se describe el funcionamiento de las plantas OTEC de Conversión de Energía Térmica del Océano (Ocean Thermal Energy Conversión) en ciclo cerrado","Diagrama ciclo cerrado OTEC.jpg",,,,,15
